Record ID,First Name,Last Name,Updated by user ID,Currently in Sequence,Latest Traffic Source Drill-Down 1,Original Traffic Source Drill-Down 1,Latest Traffic Source Drill-Down 2,Original Traffic Source Drill-Down 2,Seniority,Employment Seniority,Legal basis for processing contact's data,Persona,HubSpot Score,Campaign of last booking in meetings tool,First Touch Converting Campaign,Last Touch Converting Campaign,Field of study,Number of Sessions,Job Title,School,City,IP City,IP State Code/Region Code,State/Region Code,IP Country Code,Country/Region Code,Postal Code,Inferred Language Codes,Contact unworked,Recent Conversion,Email,Email Confirmed,Member email,Work email,Marketing emails opened,Marketing emails clicked,Marketing emails delivered,Marketing emails bounced,Marketing emails replied,Quarantined Emails,Created by user ID,Cuenta de LinkedIn,Description of first engagement,Record source detail 1,Record source detail 2,Record source detail 3,Days To Close,Street Address,Email Address Quarantined,Invalid email address,Domain to which registration email was sent,Email Domain,Member has accessed private content,Sends Since Last Engagement,HubSpot Team,Status,Marital Status,Marketing email confirmation status,Lead Status,State/Region,IP State/Region,Lifecycle Stage,Enrichment opt out,Owner assigned date,Close Date,Recent Deal Close Date,First Order Closed Date,Create Date,First Deal Created Date,Date entered Customer (Lifecycle Stage Pipeline),Date entered Evangelist (Lifecycle Stage Pipeline),Date entered Lead (Lifecycle Stage Pipeline),Date entered Marketing Qualified Lead (Lifecycle Stage Pipeline),Date entered Opportunity (Lifecycle Stage Pipeline),Date entered Sales Qualified Lead (Lifecycle Stage Pipeline),Date entered Other (Lifecycle Stage Pipeline),Date entered Subscriber (Lifecycle Stage Pipeline),Last sequence ended date,Graduation date,Start date,Last sequence enrolled date,Recent Sales Email Opened Date,Recent Conversion Date,Latest Traffic Source Date,First marketing email open date,First Conversion Date,Date of first engagement,First marketing email reply date,Recent Sales Email Replied Date,Next Activity Date,Last marketing email open date,Last Engagement Date,Last marketing email reply date,Date of last meeting booked in meetings tool,Latest Open Lead Date,Latest Qualified Lead Date,Latest Disqualified Lead Date,Date of birth,Recent Closed Order Date,First marketing email click date,Time First Seen,Date exited Customer (Lifecycle Stage Pipeline),Date exited Evangelist (Lifecycle Stage Pipeline),Date exited Lead (Lifecycle Stage Pipeline),Date exited Marketing Qualified Lead (Lifecycle Stage Pipeline),Date exited Sales Qualified Lead (Lifecycle Stage Pipeline),Date exited Opportunity (Lifecycle Stage Pipeline),Date exited Other (Lifecycle Stage Pipeline),Date exited Subscriber (Lifecycle Stage Pipeline),Recent Sales Email Clicked Date,First marketing email send date,Membership last private content access date,Last marketing email click date,Last marketing email send date,Time registration email was sent,Source of last booking in meetings tool,Latest Traffic Source,Record source,Original Traffic Source,Employment Role,Job function,Employment Sub Role,Gender,Time of First Session,Facebook click id,Google ad click id,Merged Contact IDs,ID of first engagement,First Closed Order ID,Preferred language,Annual Revenue,Event Revenue,Total Revenue,Enrichment opt out timestamp,Medium of last booking in meetings tool,Message,Registration Method,Registered member,Email address automated quarantine reason,Email address quarantine reason,Email hard bounce reason,Company Name,Twitter Username,Last marketing email name,Membership Notes,Number of Sales Activities,Number of Form Submissions,Fax Number,Number of event completions,Number of Unique Forms Submitted,Mobile Phone Number,Number of Associated Deals,Number of sequences enrolled,Phone Number,WhatsApp Phone Number,Number of times contacted,Number of Pageviews,Prospecting Agent Total Enrolled Count,Opted out of email: Marketing Information,Opted out of email: One to One,IP Country,Country/Region,First Referring Site,First Conversion,First Page Seen,Average Pageviews,Contact owner,Registered At,Buying Role,Salutation,Has been enriched,Industry,Intent Signals active,Military status,Relationship Status,Unsubscribed from all email,Company size,Number of Employees,Lead response time (HH:mm:ss),Time enrolled in registration follow up emails,Type of first engagement,Degree,Last Activity Date,Prospecting Agent Last Enrolled,Last Modified Date,Last Page Seen,Last sequence enrolled,Time of Last Session,Time Last Seen,Last Contacted,Last Referring Site,LinkedIn URL,Website URL,Recent Deal Amount,Time Zone,IP Timezone
1.83686E+11,Sergio,Navarro,Rafa RTS,,CRM_UI,CRM_UI,Rafa RTS,Rafa RTS,,,,,,,,,,0,PMO Lead,,,,,,,,,,true,,sergio@auroraprojects.com,,,,,,,,,,Rafa RTS,,,,,,,,,,,auroraprojects.com,0,,,,,,,,,Lead,,10/12/2025 12:00,,,,10/12/2025 12:00,,,,10/12/2025 12:00,,,,,,,,,,,,10/12/2025 12:00,,,,,,,,,,,,,,,,,10/12/2025 12:00,,,,,,,,,,,,,,,,Offline Sources,CRM UI,Offline Sources,,,,,,,,,,,,,0,,,,,,0,,,,,,,,0,0,,0,0,,,,,,,0,0,,,,,,,,0,Rafa RTS,,,,,,,,,,,,,,,,,,10/12/2025 12:00,,,,,,,,,,,
1.83686E+11,Laura,Sánchez,Rafa RTS,,CRM_UI,CRM_UI,Rafa RTS,Rafa RTS,,,,,,,,,,0,Project Management Director,,,,,,,,,,true,,laura@aauroraprojects.com,,,,,,,,,,Rafa RTS,,,,,,,,,,,aauroraprojects.com,0,,,,,,,,,Opportunity,,10/12/2025 12:00,,,,10/12/2025 12:00,10/12/2025 13:26,,,10/12/2025 12:00,,10/12/2025 13:26,,,,,,,,,,10/12/2025 12:00,,,,,,,,,,,,,,,,,10/12/2025 12:00,,,10/12/2025 13:26,,,,,,,,,,,,,Offline Sources,CRM UI,Offline Sources,,,,,,,,,,,,,0,,,,,,0,,,,,,,,0,0,,0,0,,1,,,,,0,0,,,,,,,,0,Rafa RTS,,,,,,,,,,,,,,,,,,10/12/2025 13:29,,,,,,,,,,,
1.83772E+11,Miguel,Castillo,Rafa RTS,,CRM_UI,CRM_UI,Rafa RTS,Rafa RTS,,,,,,,,,,0,Support Operations Lead,,,,,,,,,,true,,miguel@quantumsupport.app,,,,,,,,,,Rafa RTS,,,,,,,,,,,quantumsupport.app,0,,,,,,,,,Lead,,10/12/2025 11:59,,,,10/12/2025 11:59,,,,10/12/2025 11:59,,,,,,,,,,,,10/12/2025 11:59,,,,,,,,,,,,,,,,,10/12/2025 11:59,,,,,,,,,,,,,,,,Offline Sources,CRM UI,Offline Sources,,,,,,,,,,,,,0,,,,,,0,,,,,,,,0,0,,0,0,,,,,,,0,0,,,,,,,,0,Rafa RTS,,,,,,,,,,,,,,,,,,10/12/2025 11:59,,,,,,,,,,,
1.83686E+11,Renata,Pineda,Rafa RTS,,CRM_UI,CRM_UI,Rafa RTS,Rafa RTS,,,,,,,,,,0,Head of Customer Support,,,,,,,,,,true,,renata@quantumsupport.app,,,,,,,,,,Rafa RTS,,,,,,1,,,,,quantumsupport.app,0,,,,,,,,,Customer,,10/12/2025 11:58,10/12/2025 13:27,21/11/2025 13:27,,10/12/2025 11:58,10/12/2025 13:27,10/12/2025 13:27,,10/12/2025 11:58,,,,,,,,,,,,10/12/2025 11:58,,,,,,,,,,,,,,,,,10/12/2025 11:58,,,10/12/2025 13:27,,,,,,,,,,,,,Offline Sources,CRM UI,Offline Sources,,,,,,,,,,,,,0,14000,,,,,0,,,,,,,,0,0,,0,0,,1,,,,,0,0,,,,,,,,0,Rafa RTS,,,,,,,,,,,,,,,,,,10/12/2025 13:30,,,,,,,,,14000,,
1.83774E+11,Carlos,Medina,Rafa RTS,,CRM_UI,CRM_UI,Rafa RTS,Rafa RTS,,,,,,,,,,0,Sales Operations Manager,,,,,,,,,,true,,carlos@orbitsaleshub.com,,,,,,,,,,Rafa RTS,,,,,,,,,,,orbitsaleshub.com,0,,,,,,,,,Lead,,10/12/2025 11:57,,,,10/12/2025 11:57,,,,10/12/2025 11:57,,,,,,,,,,,,10/12/2025 11:57,,,,,,,,,,,,,,,,,10/12/2025 11:57,,,,,,,,,,,,,,,,Offline Sources,CRM UI,Offline Sources,,,,,,,,,,,,,0,,,,,,0,,,,,,,,0,0,,0,0,,,,,,,0,0,,,,,,,,0,Rafa RTS,,,,,,,,,,,,,,,,,,10/12/2025 11:57,,,,,,,,,,,
1.83686E+11,Julia,Herrera,Rafa RTS,,CRM_UI,CRM_UI,Rafa RTS,Rafa RTS,,,,,,,,,,0,VP of Sales,,,,,,,,,,true,,julia@orbitsaleshub.com,,,,,,,,,,Rafa RTS,,,,,,,,,,,orbitsaleshub.com,0,,,,,,,,,Opportunity,,10/12/2025 11:56,,,,10/12/2025 11:56,10/12/2025 13:29,,,10/12/2025 11:56,,10/12/2025 13:29,,,,,,,,,,10/12/2025 11:56,,,,,,,,,,,,,,,,,10/12/2025 11:56,,,10/12/2025 13:29,,,,,,,,,,,,,Offline Sources,CRM UI,Offline Sources,,,,,,,,,,,,,0,,,,,,0,,,,,,,,0,0,,0,0,,1,,,,,0,0,,,,,,,,0,Rafa RTS,,,,,,,,,,,,,,,,,,10/12/2025 13:30,,,,,,,,,,,
1.83686E+11,Andrés,Villalobos,Rafa RTS,,CRM_UI,CRM_UI,Rafa RTS,Rafa RTS,,,,,,,,,,0,Compliance Manager,,,,,,,,,,true,,andres@lighthousegrc.com,,,,,,,,,,Rafa RTS,,,,,,,,,,,lighthousegrc.com,0,,,,,,,,,Lead,,10/12/2025 11:55,,,,10/12/2025 11:55,,,,10/12/2025 11:55,,,,,,,,,,,,10/12/2025 11:55,,,,,,,,,,,,,,,,,10/12/2025 11:55,,,,,,,,,,,,,,,,Offline Sources,CRM UI,Offline Sources,,,,,,,,,,,,,0,,,,,,0,,,,,,,,0,0,,0,0,,,,,,,0,0,,,,,,,,0,Rafa RTS,,,,,,,,,,,,,,,,,,10/12/2025 11:55,,,,,,,,,,,
1.83444E+11,Mariana,López,Rafa RTS,,CRM_UI,CRM_UI,Rafa RTS,Rafa RTS,,,,,,,,,,0,Chief Compliance Officer,,,,,,,,,,true,,mariana@lighthousegrc.com,,,,,,,,,,Rafa RTS,,,,,,1,,,,,lighthousegrc.com,0,,,,,,,,,Customer,,10/12/2025 11:55,10/12/2025 13:30,19/11/2025 13:29,,10/12/2025 11:55,10/12/2025 13:30,10/12/2025 13:30,,10/12/2025 11:55,,,,,,,,,,,,10/12/2025 11:55,,,,,,,,,,,,,,,,,10/12/2025 11:55,,,10/12/2025 13:30,,,,,,,,,,,,,Offline Sources,CRM UI,Offline Sources,,,,,,,,,,,,,0,21000,,,,,0,,,,,,,,0,0,,0,0,,1,,,,,0,0,,,,,,,,0,Rafa RTS,,,,,,,,,,,,,,,,,,10/12/2025 13:31,,,,,,,,,21000,,
1.83686E+11,Sofia,Duarte,Rafa RTS,,CRM_UI,CRM_UI,Rafa RTS,Rafa RTS,,,,,,,,,,0,Analytics Engineer,,,,,,,,,,true,,sofia@zenithdata.io,,,,,,,,,,Rafa RTS,,,,,,1,,,,,zenithdata.io,0,,,,,,,,,Customer,,10/12/2025 11:47,10/12/2025 13:25,30/11/2025 13:24,,10/12/2025 11:47,10/12/2025 13:25,10/12/2025 13:25,,10/12/2025 11:47,,,,,,,,,,,,10/12/2025 11:47,,,,,,,,,,,,,,,,,10/12/2025 11:47,,,10/12/2025 13:25,,,,,,,,,,,,,Offline Sources,CRM UI,Offline Sources,,,,,,,,,,,,,0,26000,,,,,0,,,,,,,,0,0,,0,0,,1,,,,,0,0,,,,,,,,0,Rafa RTS,,,,,,,,,,,,,,,,,,10/12/2025 13:27,,,,,,,,,26000,,
1.83686E+11,Victor,Klein,Rafa RTS,,CRM_UI,CRM_UI,Rafa RTS,Rafa RTS,,,,,,,,,,0,Data Platform Lead,,,,,,,,,,true,,victor@zenithdata.io,,,,,,,,,,Rafa RTS,,,,,,,,,,,zenithdata.io,0,,,,,,,,,Opportunity,,10/12/2025 11:47,,,,10/12/2025 11:47,10/12/2025 13:24,,,10/12/2025 11:47,,10/12/2025 13:24,,,,,,,,,,10/12/2025 11:47,,,,,,,,,,,,,,,,,10/12/2025 11:47,,,10/12/2025 13:24,,,,,,,,,,,,,Offline Sources,CRM UI,Offline Sources,,,,,,,,,,,,,0,,,,,,0,,,,,,,,0,0,,0,0,,1,,,,,0,0,,,,,,,,0,Rafa RTS,,,,,,,,,,,,,,,,,,10/12/2025 13:27,,,,,,,,,,,
